"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL3221209";"";"0";"313.21";"0";"3.67";"14";"O=C1/C(=C/c2cccc(Cl)c2Cl)N=C2SCCCN12";"Inhibition";"'='";"12.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3222514";"Displacement of [3H]CP55,940 from human recombinant CB1 receptor expressed in CHO-K1 cells at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO-K1";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3217528";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307512"
"CHEMBL3221207";"";"0";"278.76";"0";"3.02";"12";"O=C1/C(=C/c2cccc(Cl)c2)N=C2SCCCN12";"Inhibition";"'='";"30.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3222514";"Displacement of [3H]CP55,940 from human recombinant CB1 receptor expressed in CHO-K1 cells at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO-K1";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3217528";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307512"
"CHEMBL475785";"";"0";"457.75";"1";"6.33";"6c";"O=C(NCc1ccccc1)n1nc(-c2ccc(Cl)cc2)c(-c2ccc(Cl)cc2Cl)n1";"Inhibition";"'='";"18.6";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL1034815";"Displacement of [3H]CP-55940 from human CB1 receptor expressed in HEK293 cells at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"HEK293";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1141022";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2009";"CHEMBL3307715"
"CHEMBL2177251";"";"0";"336.43";"1";"5.13";"18a";"CCCCCc1cc(OC)c2cc(Cc3ccccc3)c(=O)oc2c1";"Inhibition";"'='";"58.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL2187921";"Agonist activity at human CB1 receptor expressed in CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation using [3H]-cAMP at 1 uM after 5 mins by liquid scintillation counter relative to CP55940";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176868";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072"
"CHEMBL2181552";"";"0";"389.25";"0";"4.30";"14a";"COc1cccc(Cc2cc3c(OC)cc(CBr)cc3oc2=O)c1";"Inhibition";"'='";"23.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL2187921";"Agonist activity at human CB1 receptor expressed in CHO cells assessed as inhibition of forskolin-stimulated cAMP accumulation using [3H]-cAMP at 1 uM after 5 mins by liquid scintillation counter relative to CP55940";"F";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL2176868";"1";"Scientific Literature";"J. Med. Chem.";"2012";"CHEMBL3308072"
"CHEMBL3237111";"";"0";"383.92";"0";"4.81";"12d";"CCCc1c(C(=O)NCCc2ccc(N(C)C)cc2)[nH]c2ccc(Cl)cc12";"Inhibition";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"False";"CHEMBL3239556";"Positive allosteric modulation of cannabinoid CB1 receptor (unknown origin) expressed in HEK293 cells assessed as induction of ERK1/2 phosphorylation by Western blot analysis in absence of siRNA targeting beta-arrestin 1";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"HEK293";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232862";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715"
"CHEMBL3237113";"";"0";"426.00";"1";"5.98";"12f";"CCCCCCc1c(C(=O)NCCc2ccc(N(C)C)cc2)[nH]c2ccc(Cl)cc12";"Inhibition";"";"";"";"";"";"Dose-dependent effect";"";"";"";"";"";"False";"CHEMBL3239556";"Positive allosteric modulation of cannabinoid CB1 receptor (unknown origin) expressed in HEK293 cells assessed as induction of ERK1/2 phosphorylation by Western blot analysis in absence of siRNA targeting beta-arrestin 1";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"HEK293";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3232862";"1";"Scientific Literature";"J. Med. Chem.";"2014";"CHEMBL3307715"
"CHEMBL3220949";"";"0";"308.41";"0";"3.27";"55";"O=C1N=C2SCCCN2C1(c1ccccc1)c1ccccc1";"Inhibition";"'='";"13.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3222514";"Displacement of [3H]CP55,940 from human recombinant CB1 receptor expressed in CHO-K1 cells at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO-K1";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3217528";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307512"
"CHEMBL3221189";"";"0";"384.89";"0";"4.60";"33";"O=C1/C(=C/c2cccc(OCc3ccccc3Cl)c2)N=C2SCCCN12";"Inhibition";"'='";"0.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3222514";"Displacement of [3H]CP55,940 from human recombinant CB1 receptor expressed in CHO-K1 cells at 10 uM";"B";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"CHO-K1";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3217528";"1";"Scientific Literature";"MedChemComm";"2014";"CHEMBL3307512"
"CHEMBL3938707";"";"0";"421.93";"1";"5.05";"9a";"CCOC(=O)c1cc(-c2ccccc2)sc1NS(=O)(=O)c1ccc(Cl)cc1";"Inhibition";"'>'";"50.0";"%";"";"";"";"UO_0000187";"";"";"";"";"False";"CHEMBL3866937";"Displacement of [3H]-CP-55940 from human CB1 receptor expressed in HEK293 cell membranes at 1 to 10 uM after 90 mins relative to control";"A";"BAO_0000219";"cell-based format";"Homo sapiens";"";"";"HEK293";"";"CHEMBL218";"Cannabinoid CB1 receptor";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL3865825";"1";"Scientific Literature";"Eur J Med Chem";"2016";"CHEMBL3307715"
