"Molecule ChEMBL ID";"Molecule Name";"Molecule Max Phase";"Molecular Weight";"#RO5 Violations";"AlogP";"Compound Key";"Smiles";"Standard Type";"Standard Relation";"Standard Value";"Standard Units";"pChEMBL Value";"Data Validity Comment";"Comment";"Uo Units";"Ligand Efficiency BEI";"Ligand Efficiency LE";"Ligand Efficiency LLE";"Ligand Efficiency SEI";"Potential Duplicate";"Assay ChEMBL ID";"Assay Description";"Assay Type";"BAO Format ID";"BAO Label";"Assay Organism";"Assay Tissue ChEMBL ID";"Assay Tissue Name";"Assay Cell Type";"Assay Subcellular Fraction";"Target ChEMBL ID";"Target Name";"Target Organism";"Target Type";"Document ChEMBL ID";"Source ID";"Source Description";"Document Journal";"Document Year";"Cell ChEMBL ID"
"CHEMBL136755";"";"0";"530.65";"1";"0.19";"19";"N=C(N)N1CCC(C(=O)NC[C@@H]2CCCN2C(=O)[C@H](CO)NS(=O)(=O)c2ccc3ccccc3c2)CC1";"IC50";"'='";"110.0";"nM";"6.96";"";"";"UO_0000065";"13.11";"0.26";"6.77";"4.12";"False";"CHEMBL771785";"In vitro inhibition of human thrombin catalytic activity after 3 min pre incubation.";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1135091";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"2002";""
"CHEMBL341970";"";"0";"577.68";"2";"5.50";"25";"COC(=O)C(Cc1cccc(C(=N)N)c1)C(/C=C/c1ccccc1)NC(=O)c1ccc(-c2ccc(OC)c(OC)c2)cc1";"IC50";"'='";"4700.0";"nM";"5.33";"";"";"UO_0000065";"9.22";"0.17";"-0.17";"4.31";"False";"CHEMBL816075";"Inhibitory activity against human Thrombin";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131467";"1";"Scientific Literature";"J. Med. Chem.";"1998";""
"CHEMBL335755";"";"0";"481.56";"0";"2.56";"24c";"N=C(N)c1ccc(CNC(=O)Cn2c(-c3ccccc3)cnc(NCCc3ccccc3)c2=O)nc1";"IC50";"'='";"3100.0";"nM";"5.51";"";"";"UO_0000065";"11.44";"0.21";"2.95";"3.97";"False";"CHEMBL816079";"Inhibitory activity against thrombin (IIa) was determined";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145085";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL131250";"";"0";"523.08";"1";"4.93";"28l";"CCCCCC(CC)Nc1nc(Cl)c(-c2ccccc2)n(CC(=O)NCc2ccc(C(=N)N)cc2)c1=O";"IC50";"'='";"5200.0";"nM";"5.28";"";"";"UO_0000065";"10.10";"0.20";"0.35";"4.20";"False";"CHEMBL816079";"Inhibitory activity against thrombin (IIa) was determined";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145085";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL130808";"";"0";"480.57";"0";"3.17";"24f";"N=C(N)c1cccc(CNC(=O)Cn2c(-c3ccccc3)cnc(NCCc3ccccc3)c2=O)c1";"IC50";"'>'";"30000.0";"nM";"";"";"";"UO_0000065";"";"";"";"";"False";"CHEMBL816079";"Inhibitory activity against thrombin (IIa) was determined";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1145085";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL317856";"";"0";"387.48";"0";"0.52";"15";"C[C@@H](C(=O)N1CCC[C@H]1C(=O)N[C@H](C=O)CCCN=C(N)N)c1ccccc1";"IC50";"'='";"94.0";"nM";"7.03";"";"";"UO_0000065";"18.13";"0.34";"6.51";"5.37";"False";"CHEMBL771786";"In vitro inhibitory activity against human Prothrombin";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1130154";"1";"Scientific Literature";"J. Med. Chem.";"1997";""
"CHEMBL2372740";"";"0";"593.72";"2";"1.51";"table 1";"CC[C@H](NC(=O)CCCCCNC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O";"IC50";"'='";"168000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL811068";"Anti-thrombin activity by competitive enzyme assay using the fluorogenic substrate Tos-Gly-Pro-Arg-AMC at pH 8.3.";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131543";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
"CHEMBL3217280";"";"0";"2095.22";"";"";"12";"O=S(=O)([O-])OC[C@@H]1O[C@H](OC[C@@H]2O[C@@H](O[C@@H]3[C@H](COS(=O)(=O)[O-])O[C@H](O[C@@H]4O[C@@H](COS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@H](OS(=O)(=O)[O-])[C@@H]4OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H]3OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H]2OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@@H](OS(=O)(=O)[O-])[C@H]1OS(=O)(=O)[O-].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+].[Na+]";"IC50";"'>'";"1000.0";"ug.mL-1";"";"Outside typical range";"";"UO_0000274";"";"";"";"";"False";"CHEMBL658194";"Anticoagulant activity when interacted with Coagulation factor II";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1150528";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1995";""
"CHEMBL139571";"";"0";"494.64";"0";"3.68";"45";"CC(C)c1ccc(NC(=O)N2CCC[C@H]2C(=O)N2CC[C@H]3[C@H]2[C@H](C)C(=O)N3C(=O)[C@H]2[C@@H](C)[C@H]2C)cc1";"IC50";"'>'";"200000.0";"nM";"";"Outside typical range";"";"UO_0000065";"";"";"";"";"False";"CHEMBL816691";"Concentration of compound required to inhibit thrombin";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1136799";"1";"Scientific Literature";"J. Med. Chem.";"2003";""
"CHEMBL2372703";"";"0";"608.74";"2";"0.45";"table 1";"CC[C@H](NC(=O)[C@H](CCCCN)NC(=O)[C@@H](NC(=O)[C@H](CCCCN)NC(=O)c1cc(O)ccc1O)[C@@H](C)CC)C(=O)O";"IC50";"'='";"68000.0";"nM";"4.17";"";"";"UO_0000065";"6.85";"0.13";"3.72";"1.69";"False";"CHEMBL811068";"Anti-thrombin activity by competitive enzyme assay using the fluorogenic substrate Tos-Gly-Pro-Arg-AMC at pH 8.3.";"B";"BAO_0000357";"single protein format";"";"";"";"";"";"CHEMBL204";"Thrombin";"Homo sapiens";"SINGLE PROTEIN";"CHEMBL1131543";"1";"Scientific Literature";"Bioorg. Med. Chem. Lett.";"1998";""
